chunk	col	leaf	ours	ocr	context
0000	0600A	314	quae	qua	quae in priore omiserat, et
0000	0600B	314	tantae	tanta	examinis auctoritate, et futuris tantae auctoritatis firmetur examine. Excellentiam
0000	0599	314	eorum	corum	imitationem, vel ut meritis eorum consociemur, atque orationibus adjuvemur
0000	0601A	315	quaedam	quadam	potest, cum sit propria quaedam Divinitati debita servitus, nec
0000	0602A	315	quae	qua	Barnaba, cum, commoti miraculis quae per eos facta sunt,
0000	0601	315	Cappadociae,	cappadocis	vitam finivit. In Caesarea Cappadociae, depositio sancti Basilii
0000	0613	321	Romae,	roma	Triphonis, quorum gesta habentur. Romae, sanctorum Prisci presbiteri et
0000	0627	328	die,	dic	et ipse excepit. Eodem die, sancti Eugeniani martyris.
0001	0631	330	Juliani,	ammonis	et Maximiano, natalis sanctorum Juliani, et Basilissae virginis, quorum
0001	0635	332	coelum	colum	et prophetarum choros ad coelum ferri ab
0001	0645	337	eximiae	eximi	sancti Remigii episcopi, viri eximiae virtutis. Cujus sanctitatis praeconium,
0001	0649	339	cum	eum	beatus scribit Paulinus, quia cum a persecutoribus in carcerem
0001	0665	347	beatae	beat	honore victoriosissimae crucis, et beatae et gloriosae
0001	0669	349	quae	qua	visitatione meruit confortari post quae plumbo fervente perfusus, tandem
0001	0673	351	Marthae	martha	sanctorum martyrum Marii, et Marthae cum filiis suis Audifax
0001	0681	355	*Kal.	confessoris	*Kal. Die* Philippis, beati Parmenae,
0001	0683	356	gratiae	grati	septem diaconibus. Hic traditus gratiae Dei a fratribus, injunctum
0001	0687	358	reliquiae	reliqui	igni traditi sunt, et reliquiae eorum in Axum fluvium
0001	0691	360	sancti	natalis	Eodem die, sancti Ananiae apud Damascum, qui
0002	0721	375	Romae	rom	quievit. Romae via Salaria, passio sancti
0002	0721	375	cum	eum	Aproniani, qui audiens una cum Sisinnio diacono, adhuc gentilis,
0002	0721	375	Patris	paris	factam, *Venite,* inquiens, *benedicti Patris mei* et reliqua; credens,
0002	0729	379	etiam	eliam	Filoromi tribuni, cum quibus etiam innumera fidelium multitudo ex
0002	0729	379	Aventini	udalrici	Aventini episcopi et confessoris. *Nonis
0002	0739	384	quod	quas	idola perducentes, adorare cogebant, quod cum illa execrans recusaret,
0002	0747	388	Romae	roma	gladio martyrium consummavit. Item Romae via Lavicana, militum decem.
0002	0751	390	abstinentiae	abstinentia	quae in monasterio virtute abstinentiae et miraculis etiam claruit.
0002	0753	391	ejus,	eorumdem	Felicis, Apelii et sociorum ejus, qui passi sunt pro
0003	0759	394	Romae,	rom	XVI *Kal. Die* Romae, natalis beati Valentini presbyteri,
0003	0759	394	custodiae	custodis	caedem, custodiae mancipatus, cum superari non
0003	0767	398	Pauli	paulus	Honesimi, de quo sanctus Pauli scribit Philemoni: quem idem
0003	0769	399	magnae	magna	Fintani presbiteri et confessoris, magnae virtutis viri. Ipso die,
0003	0785	407	Policarpi	polycarpi	qui Joannis apostoli auditor, Policarpi autem condiscipulus et sodalis
0003	0791	410	Cappadociae,	cappadociam	jaceret, revelavit. In Caesarea Cappadociae, sancti Sergii martyris, cujus
0003	0793	411	Serapion	serapionis	et Dioscorus flammis incensi, Serapion et Papias gladio caesi
0003	0809	419	Romae	rom	imperatoribus. Item Romae plurimorum martyrum, quos diu
0004	0815	422	Romae	rom	capitis obtruncatione complevit. Item Romae via Appia, sanctorum martyrum
0004	0821	425	cum	cui	Perpetuae et Felicitatis, et cum eis Revocati, Saturnini et
0004	0827	428	vitae	uita	principis, optima senectute finem vitae sortitus est. VI *Idus.
0004	0829	429	Columbani.]	translati	Columbani.] V *Idus. Die* Apud
0004	0869	449	passi	nati	fratrum, qui pro Christo passi sunt. Apud Syriam, sancti
0004	0871	450	ancillae,	militis	ancillae, quae pro castitate occisa
0005	0875	452	Romae	roma	Serapionis et Ammonii lectorum. Romae via Lavicana, sancti Castoli
0005	0875	452	Maximae	maximi	sanctorum Montani presbyteri et Maximae in mare mersorum. VI
0005	0881	455	Tharso	tarso	Tharso Ciliciae, Castoris et Dorothei.
0005	0883	456	Satyri,	alexandri	confessorum Armogasti, Archinimi et Satyri, qui tempore Wandalicae persecutionis,
0005	0885	457	depositio	sancti	depositio Eustasii abbatis monasterii Luxoviensis,
0005	0911	470	actuum	actum	ad suam aetatem ecclesiasticorum actuum textuit historias, ut quorum
0005	0915	472	admirandae	admiranda	Turonis, sancti Perpetui episcopi, admirandae sanctitatis viri. V
0005	0915	472	*Idus.	uocatur	*Idus. Die* Natalis beati Procori,
0005	0919	474	vetustae	uetusti	omnes Aurelianus princeps navi vetustae impositos, in altum mare
0005	0921	475	qui	episcopi	qui magnis virtutibus et optimis
0005	0929	479	sanctae	sancta	consecratio altaris in honore sanctae et individuae Trinitatis atque
0005	0929	479	beatissimae	beatissima	vivificae crucis, simul et beatissimae Dei genitricis Mariae, sanctique
0005	0933	481	sanctae	sancta	sanctae Domninae virginis cum sociis
0005	0935	482	beatorum	maximi	beatorum martyrum Maronis, Euticetis et
0006	0951	490	Romae,	roma	principe martyrio coronatur. Item Romae, sanctorum martyrum Sulpitii et
0006	0959	494	Lucae	luc	Helimenae et Chrisoteli presbiterorum, Lucae et Mucii diaconorum, quorum
0006	0969	499	evangelistae.	euangelista	Alexandriam, natalis beati Marci evangelistae. Hic discipulis et interpres
0006	0969	499	Alexandriae	alexandri	assumpto, perrexit Aegyptum, primusque Alexandriae Christum annuntians constituit Ecclesiam,
