kind	chunk_or_file	col	pageB	our_or_marked_form	B_reads	A_reads	verdict	note
sic	0020	1071D	540	*se posuit*	se posuit	(A pending)	STANDS	B prints *se posuit* with a full word-space between *se* and *posuit* (line-initial on B, not a break)
sic	0020	1074A	541	*nemoriatur*	nemoriatur	(A pending)	STANDS	*nemoriatur*: no space between *e* and *m*; the first stem of the *m* is broken (reads like *ne:noriatur*) but is one word
sic	0021	1075D	542	*ornament*	ornament	(A pending)	STANDS	*ornament* followed by a wide blank where a final *i* would sit; no *i* printed
sic	0021	1075D	542	*sive*	sive	(A pending)	STANDS	*sive charitate*: *v* clear, pointed base, no *n*
sic	0021	1077B	543	*sponsio*	sponsio	(A pending)	STANDS	*sponsio in-|haereat*: *i* with dot between *s* and *o*, clear
sic	0023	1083B	546	*basalmo*	basalmo	(A pending)	STANDS	*basalmo*: b-a-s-a-l-m-o, *l* before *m* clear
sic	0023	1084D	546	*hotrum*	hotrum	(A pending)	STANDS	*hotrum*: first letter has two separate feet (h), no closed bowl of *b*; 4x zoom
sic	0024	1087C	548	*genere*	genere	(A pending)	STANDS	*genere*: two-stem *n*, not three-stem *m*
sic	0027	1095A	552	liliuminter	liliuminter	(A pending)	STANDS	italic *liliuminter* with no word-space (the next line prints *lilium inter* spaced, for contrast)
sic	0027	1097A	553	*ani mae*	ani mae	(A pending)	STANDS	*ani mæ*: clear word-space inside the word
sic	0028	1100C	554	loribus	loribus	(A pending)	STANDS?	italic: first glyph an *l* with a leftward hooked top and NO *f* descender (the lemma two lines of *floribus* above prints a full *f*); reads *ʃloribus*-less: *loribus* with a hooked l — see A
sic	0031	1105C	557	*praepudiente*	praepudiente	(A pending)	STANDS	*prae-|pudiente* (the *e* after *i* is ink-thin, looks *c*, irrelevant): open-topped *u* after *p*, two stems, not *e*
sic	0031	1106D	557	*sponsus*	sponsus	(A pending)	STANDS	*sponsus*: final *u* open-topped, not *o*
sic	0032	1108C	558	*sol*	sol	(A pending)	STANDS	*sic,* sol| unigenito: *sol* is line-final, no hyphen and no trailing *i* in the margin; next line opens *unigenito* (col 1108C, the SIC-LIST col is None)
sic	0032	1110A	559	*per motus*	per mo-|tus	(A pending)	STANDS	*per mo-|tus*: a full word-space between *per* and *mo-* at the line end; the separation is the plate's, not only the hyphen
