page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
123	0237	a	Carolinum autographum socios adjungit sancto Ciliano. Nulla tamen hic litura in Pratensi : quia folium aliud est, quod nunquam non animadverti, ubi litura non videtur et codex tamen a Carolino autographo discrepat. BOUILLART.	Eodem die, (a) sancti Ciliani martyris	yes, key read at the plate 2026-09-22 (leaf n123, corners 237/238)	cn
128	0247	a	Cum solus veritatis amor me impulerit, ut hoc quantulumcunque opus susciperem, longe absum ut veritatem occultare velim aut etiam dissimulare, vel mihi incommodam. Itaque ultro fateor lituram hunc articulum deturpari ab hac voce cruciati ad finem ; et scripturam quae nunc liturae spatium occupat, alterius esse manus, licet Usuardo aequalis. Non idcirco tamen ausim affirmare, ut hoc Sollerius, Martianam intrusam fuisse. Rem in medio relinquo; quam lector, si velit, definiet auctoritate trium codicum Antuerp.-Maj., Rosweyd., Aquicinct., quos Sollerius Pratensem secutos esse testatur, et trium Pratensium B, D, E, Conchens. et Montisburg., qui lectionem eamdem referunt. BOUILLART.	[Interserit Bouillart.:] (a) In Mauritania Caesariensi, sanctae Martianae	yes, key read at the plate 2026-09-22 (leaf n128, corners 247/248)	cn
129	0249	a	Sanctus Dius additus hic est ab Usuardo post oblatum Carolo regi primum sui Martyrologii exemplum. De illo sancto nihil in Dervensi codice. Illum memorant Hieronymiani indices et Ado. BOUILLART.	In Caesarea, sancti Dii (a).	yes, key read at the plate 2026-09-22 (leaf n129, corners 249/250)	cn
157	0305	a	Nescio quo casu in hunc articulum irrepserint in Dervensi codice Simplicius, Faustinus et Beatrix, quos memorat Pratensis codex in articulo sequente. Nam in isto nulla hic litura est, nec aliud folium. Neque etiam hic bene collocati fuissent. Sic enim Acta apud Monbritium : *Tunc beata Beatrix, una cum beatis Crispo et Joanne presbiteris aliisque Christianis levaverunt corpora SS. martyrum Simplicii et Faustini de fluvio* (Tiberi, quo, Diocletiano et Maximiano imperatoribus, praecipitati fuerant), *et sepelierunt ea ibi in sexto Philippi, IV Kalendas Augustas.* Vide etiam Aringhum in Roma subterranea, l. II, c. 20, p. 365 et 366. Si fidem facere possint edita a Monbritio sanctorum illorum Acta, facile esset definire quo anno martyrii laudem adepti sint. Narrant enim Acta illa S. Beatricem, postquam IV Kal. Aug. supremum officium fratribus persolvit, venisse ad matronam quamdam venerabilem nomine Lucinam, moratam esse apud eam per menses septem ; a Lucretio quodam impactam in carcerem, noctu in carcere a perditi illius hominis servis praefocatam, et a Lucina in sexto Philippi, IV Kal. Aug., sepultam fuisse. Anno igitur post suos fratres vita decessit Beatrix. Eodem, ut videtur, anno Lucina, cum poenarum asperitate territa fugeret, admonita fuit a Beatrice non abscederet, in hoc mense datum iri pacem ecclesiis Christi ; hic vero mensis erat Augustus. At mors Maximini, quae contigit mense Augusto anni 312 vel 313, pacem ecclesiis reddidit. Passi sunt igitur Simplicius et Faustinus anno 311 vel 312, Beatrix autem anno 312 vel 313. Tillemontius tom. V, p. 560, suspicatur illud Beatricis vaticinium intelligendum esse de anno 305, quo imperio cessit Diocletianus. At potestne pax appellari, quae cessionem illam consecuta est ? Deinde cessit Diocletianus mense Maio, et nihil in Actis vidi quod mense Maio Lucinam admonitam esse significet. Neque huic conjecturae quidquam officere arbitror prima haec Actorum verba : *Temporibus Diocletiani et Maximiani*, etc. Nam vaga haec temporis assignandi ratio tam facile de vita amborum aut alterutrius, quam de imperio explicari potest : et id solum si peccarent Acta, nullus dubito quin omnibus probarentur. BOUILLART.	sancti Peregrini presbiteri, cujus beatitudinem miraculorum gloria testatur (a).	yes, key read at the plate 2026-09-22 (leaf n157, corners 305/306)	cn
159	0309	a	Praeter ista verba, civitate Trecas, tota S. Lupi commemoratio litura superinducta est ; cujus tamen liturae nec in Dervensi, nec in Sollerianis codicibus, index ullus, ullum vestigium. Quae res Pratensem codicem omni interpolationis suspicione liberat. Hinc enim effici ne Sollarius quidem negaverit lituram illam esse quovis alio exemplo antiquiorem, atque adeo ab auctore ipso factam. Fuerint igitur caeterae correctiones eadem scriptae manu ac ista, certum erit correctiones omnes ab ipso auctore scriptas. An vero omnes ejusdem sint manus, oculorum esto judicium. BOUILLART.	Beatrix vero, soror eorum, in Christi confessione praefocata est in carcere. (a) Civitate Trecas, sancti Lupi	yes, key read at the plate 2026-09-22 (leaf n159, corners 309/310)	cn
203	0397	a	Dervensis codex: *in Hispania civitate Italica*. Delevit Usuardus in suo codice, *in Hispania*, qua de causa, quis dixerit ? an quia de urbe satis nota loquens inutile judicaverit regionem appellare, in qua sita erat ? De S. Geruntio nihil apud martyrologos, qui Usuardum aetate superant. Illius cultum in Hispania dubio procul accepit. Quod antiquius habetur de illo Geruntio, est epigramma Isidori Hispalensis quod manu exaratum legit et suo martyrologio Hispanico intexuit Joannes Tamayus Salazar. In illo epigrammate Geruntius dicitur carceris famisque suppliciis passus sub Nerone. Unde colligit Salazar passum esse circa annum 68, quo vehementius in Hispania saeviebat Neronis crudelitas. BOUILLART.	In Hispania (a) civitate Italica, sancti Gerontii episcopi	yes, key read at the plate 2026-09-22 (leaf n203, corners 397/398)	cn
210	0411	a	Hic lubens incastigatum dimitterem Sollerium. Etsi enim nonnihil vitii reprehenderit in Pratensi codice, nihilominus tamen illum inter puros annumerare dignatus est. Qua de re illi habeo gratiam. Sed Castellani testimonium vel in levissimis rebus infirmare non alienum fuerit. Scripsit oculatissimus ille inspector lituram in Pratensi esse a *Parisius dep.* usque ad finem. Hoc verum est. Deinde nunc in litura scriptum *ositio Mederici presbyteri et monachi*, etc. Id vero pernego: post *dep.* proxime sequitur *sancti Mederici et monachi:* Denique scriptum olim fuisse *Mederici episcopi*, ut criminatur Sollerius, id falsissimum est: cum Dervensis codex Medericum non episcopum vocet, sed presbyterum duntaxat. Neque etiam episcopus unquam fuit; sed primum monachus, dein abbas alterius ex duobus monasteriis, quae tunc temporis Augustoduni fuerat; tandem Parisiis, quo causa orationis venerat, vitam morte commutavit die quarto Kalendarum Septembrium. Haec ex Actis ejus, quae Mabilio noster edidit p. 1, tertii saeculi p. 10. Antequam hinc discedo, nonnihil difficultatis patior, unde se Sollerius expediat velim. Qua in litura S. Medericus, in eadem versatur S. Candida. Eadem utriusque correctionis scriptura est. Tamen de sancta Candida Sollerius sic: *Certe Usuardinam esse satis evincunt codices nostri.* Quod igitur de Mederico additum fuit, aeque Usuardinum est. Jam Sollerium rogo veniat ipse, docturus quid discriminis intersit hujus correctionis inter et aliarum correctionum scripturam. Nam nec ego, nec ullus ex hujus urbis eruditis ullum videmus. BOUILLART.	In pago Trecassino ... quievit in pace. (a) Parisius, depositio [Bouillart. add. sancti] Mederici presbyteri.	yes, key read at the plate 2026-09-22 (leaf n210, key at col 411/412; note text continues onto n211/col413-414, both leaves in my S4 list)	cn
213	0417	a	Falsus est et fefellit Sollerium Castellanus, cum scripsit sanctum Agilum non fuisse prima manu signatum. BOUILLART.	[Addit Bouillart.:] (a) In pago Meldensi, sancti Agili confessoris.	yes, key read at the plate 2026-09-22 (leaf n213, corners 417/418)	cn
216	0423	a	Antiqua huic articulo Egidium supposuit manus, et ita antiqua, ut obscurum sit discrimen. Sed tamen aliam a prima esse Sollerius noverat, et nos ultro confitemur. Cur ergo tam levem ob causam purorum albo Pratensem codicem eradit ? BOUILLART.	[Addit Bouillart., charactere Italico:] (a) Eodem die natalis sancti Egidii abbatis.	yes, key read at the plate 2026-09-22 (leaf n216, corners 423/424)	cn
220	0431	a	Solita sua aequitate noster censor purum esse non censuit Pratensem codicem propter additam praesenti articulo S. Gregorii ordinationem, quamvis Scripturarum differentia se modo non in oculos in gerat. BOUILLART.	[Addit Bouillart:] (a) Romae ordinatio sancti Gregorii papae.	yes, key read at the plate 2026-09-22 (leaf n220, corners 431/432)	cn
