kind	chunk_or_file	col	pageB	our_or_marked_form	B_reads	A_reads	verdict	note
sic	0063	1221B	615	Evangeiii	Evangciii (5th letter shows as c, no bar visible; three dotted i where Evangelii has l-i-i)	Evangciii (same)	STANDS	Defect (iii for lii) legible on both; the e/c after g reads c on both, so the marked form could be written Evangciii; either way the [sic:] stands. Corner 1221 read on p.615
sic	0068	1235A	622	bone	bone (b-o-n-e, final e clear, no ae ligature)	not rendered (B legible)	STANDS	mentis bone legible on B; corner 1235 per text layer p.622
sic	0069	1239C	624	beatudinis	beatudinis (b-e-a-t-u-d-i-n-i-s; no -iti- syllable)	not rendered (B legible)	STANDS	Missing syllable is a count of letters, not a c/e question; legible
sic	0070	1243C	626	inexusabilis	inexusabilis (i-n-e-x-u-s-a-b-i-l-i-s; no c between x and u)	not rendered (B legible)	STANDS	Missing c is a letter count; legible
sic	0072	1249B	629	tui	sed tui in ipsis parenti-|bus (t-u-i, dotted i)	not rendered (B legible)	STANDS	Legible. Aside, not a listed site: next line prints decl.nasti with a damaged/missing letter
sic	0074	1257D	633	obrumbratio	obrumbratio (italic; o-b-r-u-m-b-r-a-t-i-o, first r clear between b and u)	not rendered (B legible)	STANDS	Legible
patch	cruces-0070.md	1257D	633	pentibus (proposed: gentibus)	ex Judæis et ?entibus congregatam: first letter damaged, a descender at left with a small open bowl above, neither a clean p nor a clean g; t also broken	same damaged glyph (same plate damage), ?entibus	UNDECIDABLE	Both witnesses show the identical broken sort; shape leans to a worn g (no closed p-bowl joined to the stem) and sense requires gentibus, but the plate is not legible enough to call it printed g. Crux or a third witness
misc	0074 (0050-0080 misc)	1257D	633	pentibus -> gentibus	see the patch row: first letter damaged on B, ?entibus	same damage	UNDECIDABLE	Same site as the cruces-0070 patch row; B now seen at 600 dpi
sic	0075	1262D	635	cliguntur	pauci cliguntur (first letter c: open aperture, no eye; matches the c and not the e of ince- on the line above, whose e shows a closed eye)	not rendered (A fills c/e; B decisive by comparison)	STANDS	Decided by comparing the initial letter with c and e sorts on the adjacent line
patch	cruces-0075.md	1262C	635	Longa debet esse, quia (candidate: esse. quia)	Longa debet esse. quia: a baseline point, slightly elongated downward, no clear comma tail (commas elsewhere on the page show a full tail)	previously read as point (not re-rendered)	UNDECIDABLE	Mark is a point-sized blob with at most a stub; could be a full stop or a comma with its tail broken off. Keep as candidate/crux; lowercase quia after it favours a broken comma on sense
misc	0075 (0050-0080 misc)	1262C	635	esse. quia (point or comma)	baseline point, no legible tail	not re-rendered	UNDECIDABLE	Same site as the cruces-0075 candidate row
sic	0079	1274A	641	in suavem	species, in suavem et immitem de-|positionis (clear word space between in and suavem)	not rendered (B legible)	STANDS	The space is legible on B; sits in the lower A-section of col 1274 (right column, ~y165pt)
sic	0079	1274C	641	testitudinis	sono testitudinis saxa (t-e-s-t-i-t-u-d-i-n-i-s; extra -ti- syllable legible)	not rendered (B legible)	STANDS	Letter count, legible
sic	0080	1278A	643	aeterna liter	æterna liter perfruentes (æ ligature; a word space, narrower than neighbouring spaces but clear, between -na and liter)	not rendered (B legible)	STANDS	Space is visible though tight; a justification-width space, not a kern
patch	cruces-0065.md	1226C	617	quo alibi dicit *Faciamus hominem* (proposed: dicit. *Faciamus*)	Deo, quo alibi dicit . (small baseline point after dicit at line end; no comma tail, no colon dot above)	not rendered	CONFIRMED	Point is faint and small but present on B at the line end
patch	cruces-0065.md	1226C	617	sancta Trinitate. (proposed: Trinitate,)	sancta Trinitate, (comma with a clear descending tail; chapter heading CAPUT VII. follows)	not rendered	CONFIRMED	Comma tail legible
patch	cruces-0065.md	1230A	619	in spritualis exercitii robur (proposed: spiritualis)	et in spi-|ritualis exercitii robur (spi- at line end with hyphen, ritualis on next line)	not rendered	CONFIRMED	Both halves legible
patch	cruces-0065.md	1233C	621	VERS. 3.-- Caput tuum sicut Carmelus (proposed: VERS. 5.)	VERS. 5. — Caput tuum sicut Carmelus : et comæ (numeral 5: flat top bar and open lower bowl, not the round-topped 3)	not rendered	CONFIRMED	Numeral legible on B; the lemma on the next line prints juncta canalibus too
patch	cruces-0065.md	1233D	621	sicut purpura regis juncta carnalibus (proposed: canalibus)	lemma line: purpura regis juncta canalibus; D-section repeat: tui sicut purpura regis, juncta canalibus. (c-a-n-a-l-i-b-u-s, no r in either)	not rendered	CONFIRMED	No r in any occurrence on the page; note the D-section repeat has a comma after regis, the lemma line (1233C) does not, so check which line the patch targets
patch	cruces-0065.md	1234D	621	semper se respicere, debere (proposed: no comma)	semper se respicere | debere ad vitam (respicere ends the line with no mark after it)	not rendered	CONFIRMED	Line end is clean
patch	cruces-0065.md	1231C	620	ex altera dilectionis cingitur (candidate: dil?tionis)	ex allera d-i-l-?-t-i-o-n-i-s: one broken sort between l and t (small blob at lower left plus a fleck at upper right), no width for a second letter; the i after d is a stub with its dot lost	not re-rendered (T-stint: same)	UNDECIDABLE	Only one letter between l and t, so the plate has no c; the surviving letter is e or a and B cannot tell which (fleck at upper right leans a). Needs a third witness
misc	0065 (0050-0080 misc)	1231C	620	dil?tionis	d.l?tionis: single damaged letter (e or a) between l and t, no c; i after d dotless stub	not re-rendered	UNDECIDABLE	Same site as the cruces-0065 candidate row
patch	cruces-0070.md	1245D	627	in quibus eum benedicitis (proposed: cum)	in quibus cum benedicitis (first letter c: ball terminal at top, open aperture, no eye; the e of bene- beside it has a closed eye)	not rendered	CONFIRMED	Decided only at ~6x tight crop; at 3x it looked like e
patch	cruces-0070.md	1246B	627	ibi corrupta est mater tua (proposed: corruvta)	corruvta (italic lemma; 5th-from-end letter is v with no descender, not p)	not rendered	CONFIRMED	Legible at 6x
patch	cruces-0070.md	1248D	628	Si animadvertis quid (proposed: anidmavertis)	anidmavertis (a-n-i-d-m-a-v-e-r-t-i-s; the ascender of d stands between i and m, so d and m are transposed)	not rendered	CONFIRMED	Legible
