page	col	note_no	note_text	anchor_words	anchor_in_our_latin
580	1147	1	Forte *describendum*.	nulli hominum, ante te scribendum (1), inspiciendumve commisi	yes
581	1150	2	Forte *discernat*.	sed hæc tanquam vana dijudicet, et quæ sunt altiora his decernat (2) et appetat	yes
583	1154	3	Forte, *spe*.	et in ipsa specie (3) quadam et futurorum promissione delectari pariter et quiescere	yes
585	1157	4	Forte *duximus*.	magnum diximus (4), et in oculis nostris hoc mirabile reputavimus	yes
587	1161	5	Forte *in mortalium*.	sicque viam sibi paraverat, qua immortalitas (5) corda illaberetur	yes
590	1167	6	Forte *accendimur*.	dono gratiæ spiritualis extendimur (6). Infirmos vero visitare	yes
590	1167	7	Forte *infirmat*.	Quod non solum corporaliter infirmanti (7), sed ægrotanti spiritualiter exhibendum est	yes
590	1167	8	Forte *invalescit*.	Languor enim spiritus in multis adeo convalescit (8), ut jam in iis nec confessionis sit vox	yes
591	1170	9	Forte *creatori*.	Qui de terra formavit Adam, illa die de pulvere eriget universos; ut creationi (9) jam totum debeamus, nihil carni	yes
591	1170	10	Forte *ibique*.	carnis vigor spiritus omnia possidebit ; ubique (10) secundum carnem jam pater non erit, aut mater	yes
