page	col	note_no	note_text	anchor_words	anchor_in_our_latin
595	1178	11	Forte *se*.	veniat, sic (11) ducem praebeat, et cum duxerit	yes
596	1179	12-13	*qui alio*.	quo pertrahar ad te, quo alias (12-13) divertere non sinat me	yes
596	1180	14	ILLEGIBLE	Optans itaque bonis (14) dona, eosque ad meliora pertrahi desiderans	yes  [note_text downgraded 2026-08-18: see cruces]
599	1185	15	f. *obvolvit*, ut infra.	Omnes enim nigredo involvit (15), vel qualis ex persecutione corporis est	yes
601	1190	16	f. *et*.	benedicens benedicit, modo, scilicet, duplici (16) benedictione	yes
602	1191	17	Joannis etiam Apocalypsis.	et Actus eorum, quos scribit Lucas, « Paulus etiam apostolus (17). »	yes
602	1191	18	f. *id castitate perimatur*.	quod incontinentia suggerit, « in castitate perimat (18); »	yes
603	1193	19	f. *mentis*.	ea quae sunt spiritus, mente (19) oculis anteponit	yes
603	1194	20	f. *fertur*.	paululum simul et paulisper iratus effertur (20) juxta quod dictum est	yes
604	1196	21	f. *addictas*.	postquam civitates peccato additas (21) sulphure perdens et igni	yes
605	1197	22	*Ministeria*.	quibus sua exercet mysteria (22), quibus Sponsam, quam ex hominibus elegit	yes
