page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
041	0073	a	S. Secundinus lituram occupat in codice. Quis olim aut quae ejus loco fuit? Nullo tamen scripturarum discrimine. BOUILLART.	Cordubae, Secundini (a) martyris.	yes, key read at the plate 2026-09-22 (leaf n041, corners 73/74) corners 73/74	cn
54	0099	a	In codice hæc omnia : *Postea vero tam frixorii quam suspensionis in equuleo ac ignis pœnuriam passi, malleo ad extremum ligneo* in litura versantur. Eadem tamen exhibent codices omnes. Vetustior igitur hæc litura est, quam ullum Usuardini Martyrologii apographum. BOUILLART.	malleo ad extremum ligneo (a) manibus eorum contritis	yes, key read at the plate 2026-09-21 (leaf n54, corners 99/100), transcribed by the translating stint; see src/english/9215/cruces-0000.md	cn
59	0109	a	Ista cryptarum dedicatio San.-Germanensis Ecclesiæ ita propria est, ut mirum non sit eam ab iis qui Martyrologium Usuardi exscripserunt, fuisse prætermissam. Sollerio tamen satis est argumenti, longam illam orationem tribuendam Usuardo non esse, quod alii codices fere omnes repugnant, et præsertim Pratensis B, in quo Sirmondus erasam esse testatus est. Hæc postrema ratio, fateor, Sollerio debuit nonnihil negotii facessere. Sed in culpa est tamen, cum eam ob causam negat ab Usuardo scriptum esse, quod perfecta scripturæ similitudo scriptum ab illo fuisse persuadet. Nodus erat solutu difficilis ? Expectaret aliquandiu, seque sustineret ; percunctaretur per litteras quid apud Usuardum cryptæ sint ; cur semel et iterum annuntietur illa dedicatio ; cur illam Pratensis codex B silentio prætereat. Hæc erant accurati editoris. Paucis nodum solvo. Ubi nunc in monasterio San-Germanensi exstructum visitur elegantissimum B. Virginis Mariæ sacellum, cryptæ olim fuerunt, seu altaria subterranea, quorum dedicationis festus dies, Usuardi tempore, Kalendis Junii agebatur. Postea eadem dedicatio celebrata est IV Idus, ut patet ex Prat. codicibus ; quæ tandem celebrari desiit, postquam B. Mariæ sacellum ab Hugone de Yssiaco, monasterii Pratensis abbate, cryptarum loco erectum est. Jam si quæsierit Sollerius cur illius dedicationis commemoratio in Prat. codice B. deleta fuerit, in promptu est ratio. Destructis altaribus, quod accidit dum in usu erat iste codex, desita est annuntiari illorum dedicatio; hincque factum est ut illam recentiores codices, seu a quadringentis annis exarati, prorsus omitterent. BOUILLART.	[ *Addit Bouill.:* (a) Parisius, monasterio beati Germani	yes, key read at the plate 2026-09-21 (leaf n59, corners 109/110), transcribed by the translating stint; see src/english/9215/cruces-0000.md	cn
64	0119	a	Nihil hic de Castellano queror. Imo in Pratensem codicem videtur hoc loco propensior fuisse quam par erat. Nam quantum ex Sollerii in hunc et sequentem diem observationibus et ex præfatione conjectare possum, non admonitus fuit eruditus ille scriptor, avulsum ex codice Pratensi folium, aliudque ejus loco assutum fuisse. Forte Castellani oculis fucum fecit membrana æque exstrita, atramentum æque decolor, forma litterarum haud multum assimilis, ut fere coævam et eamdem nullo discrimine manum habuerit. Sed firmioribus causa nostra nititur subsidiis, quam ut quidvis dissimulare debeamus, præsertim cum hujusmodi nævus magis illi faveat quod adversetur. Hinc enim reliqui codicis vetustas, elegantia, dignitas magis enitescunt, ut umbræ tabellis addunt decus. Itaque his diebus 3, 4, 5 et 6, codicem arbitrio Sollerii permitto. Corrigat, mutet, addat, detrahat ; nihil ad me attinet BOUILLART.	[ *Addit Bouillart.:* (a) Civitate Niveduno sanctorum Zotici	yes, key read at the plate 2026-09-21 (leaf n64, corners 119/120), transcribed by the translating stint; see src/english/9215/cruces-0000.md	cn
072	0135	a	Haec dedicationis mentio minime Usuardina visa est Sollerio, de ea silentibus quamplurimis codicibus, testante Sirmondo expunctam fuisse ex Pratensi B, fatente denique Castellano recentiore manu sibi adjunctam videri. Sed in re quae soli sancti Germani monasterio convenit, quid probat aliorum codicum silentium? Neque quidquam ponderis habet Sirmondi animadversio. Postquam a Nortmannis B. Petri oratorium cum sanctorum Vincentii et Germani basilica destructum fuit et incensum, simul a dedicationis solemnitate cessatum est, atque adeo a facienda illius mentione in codice qui in capitulo legebatur. Quid tandem de Castellani monito dicam? Taedet eamdem membranam, idem atramentum, manum eamdem semper occinere: commentum oculis refellendum relinquo. BOUILLART.	Apud monasterium S. Germani, dedicatio (a) oratorii in honore	yes, key read at the plate 2026-09-22 (leaf n072, corners 135/136) corners 135/136	cn
074	0139	a	Sollerius hic insigne praebet aequitatis exemplum. Jam observavi nec semel suorum codicum silentium sibi esse pro norma qua Pratensem dijudicat: proinde sanctos huic additos esse recentiore manu, quos in suis minime reperit. Ut vero sibi constet, ad suas partes trahit illa etiam addimenta, quae tribus minimum saeculis Usuardo posteriora esse nemo unquam inficiatus est. Quid injustius? Monitus dubio procul a Castellano fuerat, Landericum recentiore manu fuisse adjectum. An ea causa potuit aut debuit Pratensem inter puros codices non recensere? Credo equidem, qua est severitate, non mitius acturum fuisse cum Pratensi, si quis e nostris SS. Franciscum Assissiatem, Ignatium Loyolitam, Theresiam, aut alios nostrae memoriae sanctos, vacuis spatiis impressisset. BOUILL.	[ *Addit Bouill.* (a) Parisius, sancti Landerici episcopi	yes, key read at the plate 2026-09-22 (leaf n074, corners 139/140) corners 139/140; anchor re-taken from our Latin 2026-09-22	cn
082	0155	a	De sancti Mercurii mentione, quam ex codicum suorum silentio et litura Pratensis inductam esse autumat Sollerius; ab ejus judicio ad sanos oculos appello. Si vel levissimum scripturae discrimen suspicentur, causam non dico, quin super inductam esse judicent. Additam fuisse verum est, sed ab Usuardo; unde sumptam, non liquet. Illius martyris Acta penes nos olim fuerunt, siquidem in ms. nostrorum codicum indice memorantur n. 461. Sed illa reperire non potui. Forte non restituit is cui mutuo data fuerant, forte etiam sublata furta sunt. De Alexio, margini addito, non est quod Pratensi codici moveat litem, nam nullum est Martyrologium, quod saltem in usu fuerit, quin hujusmodi additamentis infarciatur. Et quid mirum? An oportuisset integrum volumen describi quoties sanctus aliquis in Fastis addebatur? BOUILLART.	[ *Interserit Bouillart:* (a) Civitate Benevento, sancti Mercurii	yes, key read at the plate 2026-09-22 (leaf n082, corners 155/156) corners 155/156; anchor re-taken from our Latin 2026-09-22	cn
086	0163	a	Pro S. Gundulfo Carolinum autographum habet: Eodem die, S. Vulmari confessoris admirandae sanctitatis et religionis viri. Quam commemorationem ex Adone sumptam delevit postea Usuardus, et S. Gundulfum substituit. Utrumque erudite. Nam non hoc die, sed xx Julii S. Vulmarum vita excessisse suo loco dicam; et S. Gundulfi mentio opportunius, quam hoc die, fieri non potuit. Locus est, quem assignavit Henschenius ipse, qui Breviarium Bituricense, tabulas ejusdem ecclesiae, et purissimos cum exaratos manu, tum editos Usuardi codices allegat. Quo tempore, cujus sedis episcopus fuerit sanctus ille Gundulfus, hactenus ignoratum est. Qui translationis et miraculorum historiam scripsit, Gundulfum ait Mediolensem archiepiscopum fuisse. Mettensem episcopum dicit in vita S. Radegundis Venantius Fortunatus. Sed neque Mediolanenses, neque Mettenses suis illum praesulibus annumerant. Neque id exploratum fuit Usuardo, qui sedem appellare non omisisset, si nota ipsi fuisset. BOUILLART.	viri:* (a) In territorio Bituricensi, sancti Gundulfi	yes, key read at the plate 2026-09-22 (leaf n086, corners 163/164; note run-over anchor spans plate leaves 85/86, column 0163 fires the key) corners 163/164	cn
088	0167	a	In ms. Germ. est vacuum spatium unius vocabuli. BOUILLART.	in pedibus acutos (a) [clavos] acceperunt.	yes, key read at the plate 2026-09-22 (leaf n088, corners 167/168) corners 167/168	cn
093	0177	a	Alii alio loco, aliis verbis Eusebium Caesariensem codices annuntiant. Cum igitur nihil hic de Pratensi queratur Sollerius, qua causa illum posthabuit aliis multo recentioribus, qui sic Eusebii commemorationem efferunt: Civitate Caesarea Palestinae, sancti Eusebii episcopi et confessoris, viri excellentissimi ingenii et historiographi? Si Sollerium audias tamen, quo breviora sunt et simpliciora elogia, eo magis Usuardina sunt. At docta haec et erudita Eusebiani elogii brevitas in Pratensi codice servata, falso in aliis confessoris titulo aucta fuerat: et certum erat Pratensem negligere, quoties ab aliis discreparet. Quod si sui codices ut Pratensis, Pratensis autem ut sui codices Eusebium annuntiarent, vah quam triumphasset Sollerius! quantis laudibus Usuardinam simplicitatem commendasset!	historiographi. [ *Bouillart.:* (a) In Cesarea Palestinae sancti	yes, key read at the plate 2026-09-22 (leaf n093, corners 177/178); note is unsigned in NOTAE, immediately follows the OBSERVATIONES header corners 177/178; anchor re-taken from our Latin 2026-09-22; transcriber remark moved out of the note text: unsigned	cn
