page	col	note_no	note_text	anchor_words	anchor_in_our_latin
606	1199	23	f *auditoribus convenientia suspiciuntur ministrare*.	unde placent, unde auditorum conviventia suscipiuntur ministrare (23). Ait itaque	yes
607	1201	24	f. *sinit*.	suis tuetur precibus, nec ejus sint (24) suggestionibus aut deflecti, aut certe omnino submitti	yes
608	1203	25	f. *ministerio*.	et in carne nostra expleto mysterio (25) ob quod venerat, ascendit in coelos	yes
610	1208	26	f. *laedit*.	quae irrationabiliter non irascitur, nec dicto, nec facto quemquam (26) sed quantumcunque offensa	yes
611	1210	27	f. *De*.	non est quo ulterius refici desideremus, (27) hac itaque pulchritudine dictum est	yes
616	1219	28	f. *quod*.	nihil nostrae devotionis existat quae (28), nos ad quid aliud quam ad Deum trahat	yes
616	1220	29	f. *Huic*.	nec contepescat quousque illud apprehendat. (29) Hic florem violae, candorem lilii, rubentes rosas	yes
618	1223	30	f. *jamque*.	cum centenarius est, aut majoris forte numeri, jamjam (30) vergit in senium	yes
618	1223	31	f. add. *post*.	foras extrahit, manducat, atque consumit; et (31) coenam hanc haustu fontis aquae purioris potus	yes
618	1224	32	f. *Designantur*.	(32) Defiguntur hic tempora actionis et contemplationis. Contemplationis quidem tempora grata sunt	yes
